Category: All categories

Week,mask: (Brazil)
2020-01-26,61
2020-02-02,48
2020-02-09,61
2020-02-16,57
2020-02-23,69
2020-03-01,54
2020-03-08,67
2020-03-15,89
2020-03-22,83
2020-03-29,100
2020-04-05,94
2020-04-12,93
2020-04-19,83
2020-04-26,91
2020-05-03,90
2020-05-10,77
2020-05-17,76
2020-05-24,75
2020-05-31,73
2020-06-07,73
2020-06-14,68
2020-06-21,70
2020-06-28,66
2020-07-05,74
2020-07-12,75
2020-07-19,82
2020-07-26,75
2020-08-02,68
2020-08-09,66
2020-08-16,67
2020-08-23,66
2020-08-30,73
2020-09-06,64
2020-09-13,63
2020-09-20,69
2020-09-27,62
2020-10-04,62
2020-10-11,59
2020-10-18,61
2020-10-25,60
2020-11-01,56
2020-11-08,60
2020-11-15,53
2020-11-22,58
2020-11-29,57
2020-12-06,54
2020-12-13,62
2020-12-20,62
2020-12-27,62
2021-01-03,60
2021-01-10,58
2021-01-17,63
2021-01-24,66
2021-01-31,60
2021-02-07,61
2021-02-14,70
2021-02-21,67
2021-02-28,71
2021-03-07,80
2021-03-14,78
2021-03-21,74
2021-03-28,76
2021-04-04,66
2021-04-11,70
2021-04-18,71
2021-04-25,66
2021-05-02,68
2021-05-09,66
2021-05-16,69
2021-05-23,68
2021-05-30,68
2021-06-06,65
2021-06-13,65
2021-06-20,75
2021-06-27,60
2021-07-04,61
2021-07-11,62
2021-07-18,67
2021-07-25,65
2021-08-01,60
2021-08-08,75
2021-08-15,76
2021-08-22,72
2021-08-29,72
2021-09-05,69
2021-09-12,73
2021-09-19,69
2021-09-26,69
2021-10-03,68
2021-10-10,65
2021-10-17,89
2021-10-24,67
2021-10-31,64
2021-11-07,52
2021-11-14,59
2021-11-21,53
2021-11-28,59
2021-12-05,58
2021-12-12,62
2021-12-19,60
2021-12-26,62
2022-01-02,64
2022-01-09,60
2022-01-16,68
2022-01-23,68
2022-01-30,63
2022-02-06,62
2022-02-13,56
2022-02-20,50
2022-02-27,63
2022-03-06,52
2022-03-13,54
2022-03-20,56
2022-03-27,51
2022-04-03,57
2022-04-10,51
