Country,Date,search_index
Canada,2020-01-26,79.0
Canada,2020-02-02,100.0
Canada,2020-02-09,88.0
Canada,2020-02-16,87.0
Canada,2020-02-23,96.0
Canada,2020-03-01,80.0
Canada,2020-03-08,81.0
Canada,2020-03-15,98.0
Canada,2020-03-22,54.0
Canada,2020-03-29,43.0
Canada,2020-04-05,36.0
Canada,2020-04-12,35.0
Canada,2020-04-19,31.0
Canada,2020-04-26,30.0
Canada,2020-05-03,37.0
Canada,2020-05-10,42.0
Canada,2020-05-17,33.0
Canada,2020-05-24,36.0
Canada,2020-05-31,29.0
Canada,2020-06-07,34.0
Canada,2020-06-14,31.0
Canada,2020-06-21,32.0
Canada,2020-06-28,38.0
Canada,2020-07-05,42.0
Canada,2020-07-12,38.0
Canada,2020-07-19,33.0
Canada,2020-07-26,27.0
Canada,2020-08-02,28.0
Canada,2020-08-09,30.0
Canada,2020-08-16,33.0
Canada,2020-08-23,35.0
Canada,2020-08-30,39.0
Canada,2020-09-06,34.0
Canada,2020-09-13,33.0
Canada,2020-09-20,34.0
Canada,2020-09-27,26.0
Canada,2020-10-04,31.0
Canada,2020-10-11,39.0
Canada,2020-10-18,37.0
Canada,2020-10-25,31.0
Canada,2020-11-01,33.0
Canada,2020-11-08,30.0
Canada,2020-11-15,38.0
Canada,2020-11-22,39.0
Canada,2020-11-29,54.0
Canada,2020-12-06,54.0
Canada,2020-12-13,60.0
Canada,2020-12-20,45.0
Canada,2020-12-27,44.0
Canada,2021-01-03,50.0
Canada,2021-01-10,51.0
Canada,2021-01-17,43.0
Canada,2021-01-24,36.0
Canada,2021-01-31,43.0
Canada,2021-02-07,37.0
Canada,2021-02-14,34.0
Canada,2021-02-21,32.0
Canada,2021-02-28,32.0
Canada,2021-03-07,32.0
Canada,2021-03-14,28.0
Canada,2021-03-21,33.0
Canada,2021-03-28,30.0
Canada,2021-04-04,30.0
Canada,2021-04-11,30.0
Canada,2021-04-18,40.0
Canada,2021-04-25,36.0
Canada,2021-05-02,34.0
Canada,2021-05-09,37.0
Canada,2021-05-16,34.0
Canada,2021-05-23,33.0
Canada,2021-05-30,33.0
Canada,2021-06-06,37.0
Canada,2021-06-13,32.0
Canada,2021-06-20,39.0
Canada,2021-06-27,44.0
Canada,2021-07-04,47.0
Canada,2021-07-11,52.0
Canada,2021-07-18,49.0
Canada,2021-07-25,50.0
Canada,2021-08-01,64.0
Canada,2021-08-08,65.0
Canada,2021-08-15,73.0
Canada,2021-08-22,68.0
Canada,2021-08-29,73.0
Canada,2021-09-05,63.0
Canada,2021-09-12,56.0
Canada,2021-09-19,52.0
Canada,2021-09-26,57.0
Canada,2021-10-03,67.0
Canada,2021-10-10,63.0
Canada,2021-10-17,60.0
Canada,2021-10-24,54.0
Canada,2021-10-31,58.0
Canada,2021-11-07,57.0
Canada,2021-11-14,63.0
Canada,2021-11-21,62.0
Canada,2021-11-28,72.0
Canada,2021-12-05,84.0
Canada,2021-12-12,83.0
Canada,2021-12-19,93.0
Canada,2021-12-26,84.0
Canada,2022-01-02,82.0
Canada,2022-01-09,66.0
Canada,2022-01-16,64.0
Canada,2022-01-23,60.0
Canada,2022-01-30,56.0
Canada,2022-02-06,49.0
Canada,2022-02-13,65.0
Canada,2022-02-20,90.0
Canada,2022-02-27,98.0
Canada,2022-03-06,76.0
Canada,2022-03-13,82.0
Canada,2022-03-20,73.0
Canada,2022-03-27,76.0
Canada,2022-04-03,74.0
Canada,2022-04-10,75.0
