Country,Date,Search_Index
Australia,2020-01-26,3.0
Australia,2020-02-02,2.0
Australia,2020-02-09,5.0
Australia,2020-02-16,6.0
Australia,2020-02-23,5.0
Australia,2020-03-01,8.0
Australia,2020-03-08,24.0
Australia,2020-03-15,100.0
Australia,2020-03-22,100.0
Australia,2020-03-29,92.0
Australia,2020-04-05,82.0
Australia,2020-04-12,52.0
Australia,2020-04-19,36.0
Australia,2020-04-26,33.0
Australia,2020-05-03,21.0
Australia,2020-05-10,22.0
Australia,2020-05-17,28.0
Australia,2020-05-24,31.0
Australia,2020-05-31,27.0
Australia,2020-06-07,20.0
Australia,2020-06-14,25.0
Australia,2020-06-21,28.0
Australia,2020-06-28,31.0
Australia,2020-07-05,30.0
Australia,2020-07-12,40.0
Australia,2020-07-19,41.0
Australia,2020-07-26,27.0
Australia,2020-08-02,22.0
Australia,2020-08-09,22.0
Australia,2020-08-16,29.0
Australia,2020-08-23,23.0
Australia,2020-08-30,20.0
Australia,2020-09-06,24.0
Australia,2020-09-13,17.0
Australia,2020-09-20,22.0
Australia,2020-09-27,16.0
Australia,2020-10-04,16.0
Australia,2020-10-11,18.0
Australia,2020-10-18,21.0
Australia,2020-10-25,35.0
Australia,2020-11-01,14.0
Australia,2020-11-08,19.0
Australia,2020-11-15,15.0
Australia,2020-11-22,17.0
Australia,2020-11-29,12.0
Australia,2020-12-06,13.0
Australia,2020-12-13,20.0
Australia,2020-12-20,7.0
Australia,2020-12-27,6.0
Australia,2021-01-03,7.0
Australia,2021-01-10,15.0
Australia,2021-01-17,12.0
Australia,2021-01-24,12.0
Australia,2021-01-31,22.0
Australia,2021-02-07,19.0
Australia,2021-02-14,12.0
Australia,2021-02-21,5.0
Australia,2021-02-28,11.0
Australia,2021-03-07,15.0
Australia,2021-03-14,10.0
Australia,2021-03-21,12.0
Australia,2021-03-28,14.0
Australia,2021-04-04,7.0
Australia,2021-04-11,13.0
Australia,2021-04-18,12.0
Australia,2021-04-25,16.0
Australia,2021-05-02,16.0
Australia,2021-05-09,15.0
Australia,2021-05-16,15.0
Australia,2021-05-23,20.0
Australia,2021-05-30,22.0
Australia,2021-06-06,21.0
Australia,2021-06-13,19.0
Australia,2021-06-20,21.0
Australia,2021-06-27,45.0
Australia,2021-07-04,42.0
Australia,2021-07-11,44.0
Australia,2021-07-18,47.0
Australia,2021-07-25,38.0
Australia,2021-08-01,44.0
Australia,2021-08-08,25.0
Australia,2021-08-15,35.0
Australia,2021-08-22,22.0
Australia,2021-08-29,24.0
Australia,2021-09-05,21.0
Australia,2021-09-12,25.0
Australia,2021-09-19,25.0
Australia,2021-09-26,27.0
Australia,2021-10-03,16.0
Australia,2021-10-10,33.0
Australia,2021-10-17,20.0
Australia,2021-10-24,27.0
Australia,2021-10-31,20.0
Australia,2021-11-07,21.0
Australia,2021-11-14,22.0
Australia,2021-11-21,21.0
Australia,2021-11-28,17.0
Australia,2021-12-05,21.0
Australia,2021-12-12,17.0
Australia,2021-12-19,13.0
Australia,2021-12-26,14.0
Australia,2022-01-02,40.0
Australia,2022-01-09,44.0
Australia,2022-01-16,31.0
Australia,2022-01-23,27.0
Australia,2022-01-30,20.0
Australia,2022-02-06,27.0
Australia,2022-02-13,31.0
Australia,2022-02-20,34.0
Australia,2022-02-27,24.0
Australia,2022-03-06,31.0
Australia,2022-03-13,29.0
Australia,2022-03-20,23.0
Australia,2022-03-27,26.0
Australia,2022-04-03,19.0
Australia,2022-04-10,14.0
Belgium,2020-01-26,32.0
Belgium,2020-02-02,0.0
Belgium,2020-02-09,16.0
Belgium,2020-02-16,0.0
Belgium,2020-02-23,0.0
Belgium,2020-03-01,0.0
Belgium,2020-03-08,31.0
Belgium,2020-03-15,62.0
Belgium,2020-03-22,75.0
Belgium,2020-03-29,29.0
Belgium,2020-04-05,46.0
Belgium,2020-04-12,59.0
Belgium,2020-04-19,29.0
Belgium,2020-04-26,100.0
Belgium,2020-05-03,0.0
Belgium,2020-05-10,43.0
Belgium,2020-05-17,30.0
Belgium,2020-05-24,15.0
Belgium,2020-05-31,0.0
Belgium,2020-06-07,55.0
Belgium,2020-06-14,0.0
Belgium,2020-06-21,30.0
Belgium,2020-06-28,15.0
Belgium,2020-07-05,16.0
Belgium,2020-07-12,16.0
Belgium,2020-07-19,17.0
Belgium,2020-07-26,0.0
Belgium,2020-08-02,48.0
Belgium,2020-08-09,15.0
Belgium,2020-08-16,0.0
Belgium,2020-08-23,46.0
Belgium,2020-08-30,16.0
Belgium,2020-09-06,0.0
Belgium,2020-09-13,16.0
Belgium,2020-09-20,31.0
Belgium,2020-09-27,15.0
Belgium,2020-10-04,0.0
Belgium,2020-10-11,17.0
Belgium,2020-10-18,66.0
Belgium,2020-10-25,16.0
Belgium,2020-11-01,0.0
Belgium,2020-11-08,47.0
Belgium,2020-11-15,0.0
Belgium,2020-11-22,0.0
Belgium,2020-11-29,0.0
Belgium,2020-12-06,0.0
Belgium,2020-12-13,16.0
Belgium,2020-12-20,17.0
Belgium,2020-12-27,34.0
Belgium,2021-01-03,16.0
Belgium,2021-01-10,16.0
Belgium,2021-01-17,0.0
Belgium,2021-01-24,0.0
Belgium,2021-01-31,31.0
Belgium,2021-02-07,16.0
Belgium,2021-02-14,16.0
Belgium,2021-02-21,0.0
Belgium,2021-02-28,16.0
Belgium,2021-03-07,0.0
Belgium,2021-03-14,30.0
Belgium,2021-03-21,16.0
Belgium,2021-03-28,0.0
Belgium,2021-04-04,32.0
Belgium,2021-04-11,0.0
Belgium,2021-04-18,0.0
Belgium,2021-04-25,16.0
Belgium,2021-05-02,0.0
Belgium,2021-05-09,33.0
Belgium,2021-05-16,0.0
Belgium,2021-05-23,0.0
Belgium,2021-05-30,33.0
Belgium,2021-06-06,0.0
Belgium,2021-06-13,0.0
Belgium,2021-06-20,32.0
Belgium,2021-06-27,33.0
Belgium,2021-07-04,0.0
Belgium,2021-07-11,0.0
Belgium,2021-07-18,0.0
Belgium,2021-07-25,0.0
Belgium,2021-08-01,0.0
Belgium,2021-08-08,0.0
Belgium,2021-08-15,0.0
Belgium,2021-08-22,0.0
Belgium,2021-08-29,0.0
Belgium,2021-09-05,20.0
Belgium,2021-09-12,0.0
Belgium,2021-09-19,0.0
Belgium,2021-09-26,0.0
Belgium,2021-10-03,19.0
Belgium,2021-10-10,0.0
Belgium,2021-10-17,37.0
Belgium,2021-10-24,37.0
Belgium,2021-10-31,38.0
Belgium,2021-11-07,19.0
Belgium,2021-11-14,0.0
Belgium,2021-11-21,18.0
Belgium,2021-11-28,0.0
Belgium,2021-12-05,0.0
Belgium,2021-12-12,0.0
Belgium,2021-12-19,0.0
Belgium,2021-12-26,0.0
Belgium,2022-01-02,20.0
Belgium,2022-01-09,59.0
Belgium,2022-01-16,0.0
Belgium,2022-01-23,58.0
Belgium,2022-01-30,0.0
Belgium,2022-02-06,0.0
Belgium,2022-02-13,20.0
Belgium,2022-02-20,0.0
Belgium,2022-02-27,21.0
Belgium,2022-03-06,0.0
Belgium,2022-03-13,40.0
Belgium,2022-03-20,62.0
Belgium,2022-03-27,39.0
Belgium,2022-04-03,0.0
Belgium,2022-04-10,0.0
Brazil,2020-01-26,0.0
Brazil,2020-02-02,6.0
Brazil,2020-02-09,6.0
Brazil,2020-02-16,6.0
Brazil,2020-02-23,12.0
Brazil,2020-03-01,11.0
Brazil,2020-03-08,28.0
Brazil,2020-03-15,100.0
Brazil,2020-03-22,49.0
Brazil,2020-03-29,26.0
Brazil,2020-04-05,32.0
Brazil,2020-04-12,26.0
Brazil,2020-04-19,21.0
Brazil,2020-04-26,21.0
Brazil,2020-05-03,30.0
Brazil,2020-05-10,36.0
Brazil,2020-05-17,20.0
Brazil,2020-05-24,31.0
Brazil,2020-05-31,10.0
Brazil,2020-06-07,10.0
Brazil,2020-06-14,15.0
Brazil,2020-06-21,5.0
Brazil,2020-06-28,21.0
Brazil,2020-07-05,22.0
Brazil,2020-07-12,11.0
Brazil,2020-07-19,22.0
Brazil,2020-07-26,28.0
Brazil,2020-08-02,6.0
Brazil,2020-08-09,11.0
Brazil,2020-08-16,32.0
Brazil,2020-08-23,5.0
Brazil,2020-08-30,11.0
Brazil,2020-09-06,11.0
Brazil,2020-09-13,16.0
Brazil,2020-09-20,27.0
Brazil,2020-09-27,16.0
Brazil,2020-10-04,50.0
Brazil,2020-10-11,0.0
Brazil,2020-10-18,12.0
Brazil,2020-10-25,6.0
Brazil,2020-11-01,0.0
Brazil,2020-11-08,6.0
Brazil,2020-11-15,0.0
Brazil,2020-11-22,16.0
Brazil,2020-11-29,11.0
Brazil,2020-12-06,23.0
Brazil,2020-12-13,17.0
Brazil,2020-12-20,20.0
Brazil,2020-12-27,0.0
Brazil,2021-01-03,18.0
Brazil,2021-01-10,6.0
Brazil,2021-01-17,0.0
Brazil,2021-01-24,12.0
Brazil,2021-01-31,6.0
Brazil,2021-02-07,6.0
Brazil,2021-02-14,6.0
Brazil,2021-02-21,11.0
Brazil,2021-02-28,40.0
Brazil,2021-03-07,11.0
Brazil,2021-03-14,0.0
